746,178,1,Partner,0.5
747,178,7,Senior,5.4
748,178,8,Senior,6.84
749,178,16,Staff,0
750,179,7,Senior,27.5
751,179,12,Staff,30
752,180,1,Partner,1
753,180,7,Senior,9.25
754,180,11,Staff,11
755,180,17,Staff,0
761,186,16,Staff,0.55
762,186,9,Experienced Staff,0.08
763,186,3,Manager,0.25
764,186,12,Staff,13.61
765,186,7,Senior,10.92
766,186,1,Partner,1
770,194,6,Senior,0.35
771,194,16,Staff,0.5
772,194,9,Experienced Staff,15.11
773,194,1,Partner,2
774,194,17,Staff,0
775,194,7,Senior,21.32
776,195,1,Partner,0.5
777,195,20,Manager,0
778,195,16,Staff,0
779,195,9,Experienced Staff,0
780,195,7,Senior,5
781,195,8,Senior,6.74
782,196,1,Partner,3.72
783,196,16,Staff,15.71
784,196,11,Staff,8.82
785,196,7,Senior,165.35
786,196,14,Staff,16.56
787,196,13,Experienced Staff,11.23
788,196,8,Senior,115
793,198,1,Partner,0.18
794,198,11,Staff,1.56
795,198,7,Senior,6.6
796,198,14,Staff,3.8
797,198,13,Experienced Staff,3.57
798,198,8,Senior,3.43
806,163,1,Partner,1
807,163,16,Staff,0
808,163,9,Experienced Staff,14
809,163,3,Manager,0
810,163,2,Partner,0
811,163,7,Senior,15.78
828,152,12,Staff,5.13
829,152,13,Experienced Staff,2.09
830,152,11,Staff,7.59
831,152,19,Senior,7.02
832,152,7,Senior,6
833,153,11,Staff,2.36
841,28,12,Staff,0.96
842,28,11,Staff,29
843,28,13,Experienced Staff,0
844,28,19,Senior,0.7
845,28,6,Senior,15
851,31,1,Partner,0.15
852,31,13,Experienced Staff,0
853,31,12,Staff,12.44
854,31,19,Senior,3.25
855,31,6,Senior,2
860,35,16,Staff,0.2
861,35,13,Experienced Staff,0
862,35,12,Staff,24.25
863,35,19,Senior,0.96
864,35,6,Senior,10
874,158,12,Staff,8.87
875,158,16,Staff,0
876,158,10,Staff,0
877,158,18,,0
878,158,23,,0
879,158,13,Experienced Staff,0
880,158,11,Staff,17.9
881,158,19,Senior,12.68
882,158,7,Senior,7
883,164,12,Staff,14.02
884,164,16,Staff,0
885,164,18,,0
886,164,23,,0
887,164,13,Experienced Staff,18
888,164,11,Staff,13.65
889,164,19,Senior,13.73
890,164,7,Senior,9.5
891,165,12,Staff,8.91
892,165,23,,0
893,165,13,Experienced Staff,15
894,165,19,Senior,5.32
895,165,7,Senior,13
897,169,12,Staff,68.83
898,169,5,0,0
899,169,13,Experienced Staff,0
900,169,19,Senior,2.41
901,169,7,Senior,25
902,170,1,Partner,3.06
903,170,16,Staff,1.5
904,170,12,Staff,70.68
905,170,14,Staff,0.88
906,170,10,Staff,0
907,170,18,Staff,0
908,170,23,Staff,0
909,170,19,Senior,18.65
910,170,7,Senior,0
911,174,12,Staff,23.1
912,174,13,Experienced Staff,0
913,174,19,Senior,9.45
914,174,7,Senior,2
915,175,19,Senior,1.01
916,176,1,Partner,0.39
917,176,16,Staff,1.83
918,176,11,Staff,7.05
919,176,19,Senior,5.36
920,181,11,Staff,27
921,181,20,Manager,0
922,181,16,Staff,0
923,181,7,Senior,0
924,181,17,Staff,0
925,181,19,Senior,9.55
926,181,7,Senior,20
927,182,9,Experienced Staff,0.45
928,182,11,Staff,14.64
929,182,19,Senior,0.6
930,182,7,Senior,2
931,183,1,Partner,2.34
932,183,16,Staff,0.81
933,183,23,Staff,0
934,183,4,Manager,0
935,183,12,Staff,2.36
936,183,13,Experienced Staff,0
937,183,11,Staff,28.14
938,183,19,Senior,23.95
939,183,7,Senior,6.5
945,187,5,,1.16
946,187,16,Staff,0.64
947,187,10,Staff,0
948,187,18,Staff,0
949,187,13,Experienced Staff,0
950,187,12,Staff,38.78
951,187,19,Senior,2.35
952,187,7,Senior,12
953,188,16,Staff,1.12
954,188,12,Staff,3.79
955,188,13,Experienced Staff,13
956,188,11,Staff,23.99
957,188,23,,0
958,188,19,Senior,13.69
959,188,7,Senior,9
960,189,11,Staff,5.48
961,191,12,Staff,2.18
962,191,11,Staff,4
963,191,19,Senior,3.85
964,191,7,Senior,0
968,54,12,Staff,1.01
969,54,11,Staff,28
970,54,13,Experienced Staff,0
971,54,19,Senior,0.8
972,54,6,Senior,15
981,199,1,Partner,13.07
982,199,6,Senior,2.36
983,199,16,Staff,0.78
984,199,10,Staff,0.25
985,199,12,Staff,97.55
986,199,7,Senior,0
987,199,18,Staff,0
988,199,20,Manager,0
989,199,9,Experienced Staff,0
990,199,4,Manager,160.26
991,200,16,Staff,2.67
992,200,9,Experienced Staff,0
993,200,6,Senior,0
994,200,1,Partner,0
995,200,12,Staff,176.53
996,200,7,Senior,0.52
997,200,19,Senior,0.1
998,200,4,Manager,110.37
999,204,16,Staff,1.66
1000,204,10,Staff,0.57
1001,204,9,Experienced Staff,0
1002,204,12,Staff,24.75
1003,204,20,Manager,0
1004,204,4,Manager,44.75
1005,205,1,Partner,24.6
1006,205,6,Senior,0
1007,205,7,Senior,0
1008,205,4,Manager,22.23
1009,207,1,Partner,20.49
1010,207,6,Senior,0.25
1011,207,16,Staff,115.23
1012,207,10,Staff,565.11
1013,207,11,Staff,246.05
1014,207,13,Experienced Staff,657.9
1015,207,4,Manager,237.71
